Name,dept,dd,yu,t,ix,is,gu,op, ed, nx
Sophie,a, 49,36,58,36,63,20,8,26,28
Palo,a,28,63,20,53,73,87,87,97,56
Thomas,d,90,11,56,24,83,32,17,32,35
Lucas,d,99,88,41,5,46,93,68,42,56
Rongo,d,0,5,11,51,41,11,19,17,89
Olivia,d,22,81,6,49,77,0,90,51,25
Isabella,c,12,35,29,36,33,31,7,13,37
Ella,b,11,17,67,65,39,60,81,49,86
Emily,b,52,88,69,53,47,37,74,34,49
Nadia,b,9,83,44,53,49,34,61,48,53
Charlotte,a,38,24,64,90,16,35,56,50,54
Vladimir,b,35,61,54,23,95,66,99,74,76
Tobias,c,78,34,75,77,38,11,68,66,22
Samuel,d,34,36,92,18,93,69,36,83,23
Liam,a,34,25,94,59,51,36,64,75,30
Benjamin,b, 65,95,43,91, 80,88,62,73,72
Lily,d,74, 97,98,47,53,40,50,19,74
Emma, c, 36, 5,76,60,64,29,55,86,57
Ruby, a,56,21,24,16,47,78,64,56,26
Daniel,   a,57,47,25,87,3,42,6,62,57
Fatima,c, 14,30,56,80,66,86,42,76,34
Nadia,d,93, 52,88,53,61,68,6,49,83
Liam,b,32,55,4,49,51,76, 63,75,32
Ali,a,79,0,13,50,60,5,74, 78,59
Ji-hun,a,26,20,57,13,0,34,56, 32,40
Angelo,a,14,21,23,17,53,68,66,78,55
Lin,b,26,2,0,15,33,04,51,75,77
Aroha,b,47,8,25,74,83,4,99,29,19
Amelia,c,9,83,95,38,31,25,28,41,9
Jack,b,84,78,83,11,82,96,50,88,26
Bo,d,29,25,40,18,78,33,29,11,24
Chang,d,52,58,73,22,42,50,2,14,17
Mahdi,b,5,46,71,79,97,47,4,22,59
Amit,a,67,74,70,48,10,15,57,33,17
Oliver,b,63,97,29,50,83,35,34,70,43
James,b,42,46,49,58,26,14,51,83,61
Joshua,c,93,76,22,99,65,21,20,4,83
William,d,33,15,5,41,45,17,29,54,37
Taonga,a,49,72,99,3,13,98,22,11,62
